# Wall heat-flux
# Time        	patch         	min           	max           	integral      
6.5           	minX	0.000000e+00	0.000000e+00	0.000000e+00
6.5           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
6.5           	minY	0.000000e+00	0.000000e+00	0.000000e+00
6.5           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
6.5           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
6.5           	air_to_sphere	1.100790e+03	4.902708e+03	1.015804e+01
7             	maxY	0.000000e+00	0.000000e+00	0.000000e+00
7             	minX	0.000000e+00	0.000000e+00	0.000000e+00
7             	maxX	0.000000e+00	0.000000e+00	0.000000e+00
7             	minY	0.000000e+00	0.000000e+00	0.000000e+00
7             	minZ	0.000000e+00	0.000000e+00	0.000000e+00
7             	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
7             	air_to_sphere	1.099685e+03	4.894285e+03	1.014464e+01
7.5           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
7.5           	minX	0.000000e+00	0.000000e+00	0.000000e+00
7.5           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
7.5           	minY	0.000000e+00	0.000000e+00	0.000000e+00
7.5           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
7.5           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
7.5           	air_to_sphere	1.098617e+03	4.886054e+03	1.013164e+01
8             	maxY	0.000000e+00	0.000000e+00	0.000000e+00
8             	minX	0.000000e+00	0.000000e+00	0.000000e+00
8             	maxX	0.000000e+00	0.000000e+00	0.000000e+00
8             	minY	0.000000e+00	0.000000e+00	0.000000e+00
8             	minZ	0.000000e+00	0.000000e+00	0.000000e+00
8             	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
8             	air_to_sphere	1.097706e+03	4.879232e+03	1.012075e+01
8.5           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
8.5           	minX	0.000000e+00	0.000000e+00	0.000000e+00
8.5           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
8.5           	minY	0.000000e+00	0.000000e+00	0.000000e+00
8.5           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
8.5           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
8.5           	air_to_sphere	1.097116e+03	4.874752e+03	1.011313e+01
9             	maxY	0.000000e+00	0.000000e+00	0.000000e+00
9             	minX	0.000000e+00	0.000000e+00	0.000000e+00
9             	maxX	0.000000e+00	0.000000e+00	0.000000e+00
9             	minY	0.000000e+00	0.000000e+00	0.000000e+00
9             	minZ	0.000000e+00	0.000000e+00	0.000000e+00
9             	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
9             	air_to_sphere	1.096928e+03	4.872746e+03	1.010876e+01
9.5           	maxY	0.000000e+00	0.000000e+00	0.000000e+00
9.5           	minX	0.000000e+00	0.000000e+00	0.000000e+00
9.5           	maxX	0.000000e+00	0.000000e+00	0.000000e+00
9.5           	minY	0.000000e+00	0.000000e+00	0.000000e+00
9.5           	minZ	0.000000e+00	0.000000e+00	0.000000e+00
9.5           	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
9.5           	air_to_sphere	1.097085e+03	4.872575e+03	1.010668e+01
10            	maxY	0.000000e+00	0.000000e+00	0.000000e+00
10            	minX	0.000000e+00	0.000000e+00	0.000000e+00
10            	maxX	0.000000e+00	0.000000e+00	0.000000e+00
10            	minY	0.000000e+00	0.000000e+00	0.000000e+00
10            	minZ	0.000000e+00	0.000000e+00	0.000000e+00
10            	maxZ	0.000000e+00	0.000000e+00	0.000000e+00
10            	air_to_sphere	1.097431e+03	4.873813e+03	1.010623e+01
